E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
2.2692885629e-01,2.4040991835e-01,2.3357214691e-01,1.5166442172e-03,3.6749276247e-05
2.4040991835e-01,2.5469184390e-01,2.4744786400e-01,1.4580181800e-03,3.1669745851e-05
2.5469184390e-01,2.6982220947e-01,2.6214788966e-01,1.6006253234e-03,3.7537419257e-05
2.6982220947e-01,2.8585141797e-01,2.7772119324e-01,1.5175203466e-03,3.4366512161e-05
2.8585141797e-01,3.0283286656e-01,2.9421965317e-01,1.5257341445e-03,3.3955765954e-05
3.0283286656e-01,3.2082312454e-01,3.1169822980e-01,1.5573451672e-03,3.3767535347e-05
3.2082312454e-01,3.3988212182e-01,3.3021514850e-01,1.5987786449e-03,3.6303945711e-05
3.3988212182e-01,3.6007334850e-01,3.4983209358e-01,1.5659346253e-03,3.6801833217e-05
3.6007334850e-01,3.8146406644e-01,3.7061441383e-01,1.6455860497e-03,3.5648415364e-05
3.8146406644e-01,4.0412553330e-01,3.9263134017e-01,1.6290272949e-03,3.5661931626e-05
4.0412553330e-01,4.2813323987e-01,4.1595621631e-01,1.6502424363e-03,3.6621941248e-05
4.2813323987e-01,4.5356716164e-01,4.4066674303e-01,1.6758290426e-03,3.7040705078e-05
4.5356716164e-01,4.8051202514e-01,4.6684523707e-01,1.7473246582e-03,3.8488337707e-05
4.8051202514e-01,5.0905759020e-01,4.9457890531e-01,1.8288792088e-03,3.9789643541e-05
5.0905759020e-01,5.3929894901e-01,5.2396013530e-01,1.7383308007e-03,3.6811854166e-05
5.3929894901e-01,5.7133684283e-01,5.5508680301e-01,1.8052079446e-03,3.6279917912e-05
5.7133684283e-01,6.0527799762e-01,5.8806259887e-01,1.8754378928e-03,3.9301379474e-05
6.0527799762e-01,6.4123547956e-01,6.2299737324e-01,1.8514043819e-03,3.9711928498e-05
6.4123547956e-01,6.7932907170e-01,6.6000750228e-01,1.9665455142e-03,3.2872553279e-05
6.7932907170e-01,7.1968567300e-01,6.9921627567e-01,1.8938359466e-03,3.8597560765e-05
7.1968567300e-01,7.6243972104e-01,7.4075430728e-01,2.0042005503e-03,4.1069647017e-05
7.6243972104e-01,8.0773363988e-01,7.8475997035e-01,2.0319137698e-03,3.8705925158e-05
8.0773363988e-01,8.5571831449e-01,8.3137985835e-01,2.0601282763e-03,3.4510823433e-05
8.5571831449e-01,9.0655359342e-01,8.8076927340e-01,2.0443180425e-03,4.3749125407e-05
9.0655359342e-01,9.6040882125e-01,9.3309274355e-01,2.0967467067e-03,4.2229118048e-05
9.6040882125e-01,1.0174634027e+00,9.8852457091e-01,2.2124658911e-03,3.8683233479e-05
1.0174634027e+00,1.0779074005e+00,1.0472494123e+00,2.2245678962e-03,3.8159322815e-05
1.0779074005e+00,1.1419421681e+00,1.1094628943e+00,2.3133970516e-03,4.5531636134e-05
1.1419421681e+00,1.2097810207e+00,1.1753722651e+00,2.2793129475e-03,4.1894545895e-05
1.2097810207e+00,1.2816499460e+00,1.2451970847e+00,2.3997682685e-03,3.4058498130e-05
1.2816499460e+00,1.3577883567e+00,1.3191699565e+00,2.4034882451e-03,4.0506923165e-05
1.3577883567e+00,1.4384498883e+00,1.3975373018e+00,2.4837724064e-03,4.1194889121e-05
1.4384498883e+00,1.5239032437e+00,1.4805601814e+00,2.4874387391e-03,4.6655218657e-05
