E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
5.0905759020e-01,5.3929894901e-01,5.2396013530e-01,1.8108378831e-03,3.8541835761e-05
5.3929894901e-01,5.7133684283e-01,5.5508680301e-01,1.8180606460e-03,3.6011377416e-05
5.7133684283e-01,6.0527799762e-01,5.8806259887e-01,1.8909412187e-03,3.9500583420e-05
6.0527799762e-01,6.4123547956e-01,6.2299737324e-01,1.8701104061e-03,3.8867396867e-05
6.4123547956e-01,6.7932907170e-01,6.6000750228e-01,1.8887119990e-03,4.2358977711e-05
6.7932907170e-01,7.1968567300e-01,6.9921627567e-01,2.0072524978e-03,4.1026368926e-05
7.1968567300e-01,7.6243972104e-01,7.4075430728e-01,1.9923191663e-03,3.3333185343e-05
7.6243972104e-01,8.0773363988e-01,7.8475997035e-01,2.0454880965e-03,4.0433673293e-05
8.0773363988e-01,8.5571831449e-01,8.3137985835e-01,2.0412415596e-03,3.1726103589e-05
8.5571831449e-01,9.0655359342e-01,8.8076927340e-01,2.1579022655e-03,4.1468687531e-05
9.0655359342e-01,9.6040882125e-01,9.3309274355e-01,2.1220792960e-03,4.0370958302e-05
9.6040882125e-01,1.0174634027e+00,9.8852457091e-01,2.1700194436e-03,4.3634458622e-05
1.0174634027e+00,1.0779074005e+00,1.0472494123e+00,2.1354456054e-03,4.1485619601e-05
1.0779074005e+00,1.1419421681e+00,1.1094628943e+00,2.2359148988e-03,4.2706211619e-05
1.1419421681e+00,1.2097810207e+00,1.1753722651e+00,2.3179812102e-03,4.1923823714e-05
1.2097810207e+00,1.2816499460e+00,1.2451970847e+00,2.3950399303e-03,4.6606382044e-05
1.2816499460e+00,1.3577883567e+00,1.3191699565e+00,2.3742924322e-03,3.8189936445e-05
1.3577883567e+00,1.4384498883e+00,1.3975373018e+00,2.4896466239e-03,4.9102261469e-05
1.4384498883e+00,1.5239032437e+00,1.4805601814e+00,2.5046115257e-03,4.1545130234e-05
1.5239032437e+00,1.6144330888e+00,1.5685151644e+00,2.5510568353e-03,4.7383734179e-05
